CUI,freq
C0002778,29
C0936012,33
C1524024,29
C1536078,3
C1551393,19
C1705492,20
C3272743,19
C0008377,39
C0225808,1
C0679786,1
C0005823,47
C1271104,42
C1272641,45
C0439793,57
C0024117,87
C0018026,57
C1304897,57
C1412502,78
C3714496,78
C0522510,74
C0155668,13
C2936173,17
C0010055,102
C1880018,7
C2985465,60
C0428883,55
C0802604,103
C2598133,103
C1305849,32
C0456683,4
C4019010,149
C0455829,18
C3251812,3
C3639721,19
C0205309,18
C0239161,22
C0012634,108
C0242708,26
C0369718,209
C0441922,209
C1415124,4
C0017454,18
C0152277,7
C0018370,13
C0019134,36
C2825026,10
C1521840,13
C0178784,1
C2986546,130
C0439673,20
C3541433,20
C4050014,20
C0001645,38
C0392334,1
C0392335,3
C4695788,1
C0015663,94
C0015688,6
C0347982,10
C0184666,38
C0809949,31
C0021853,5
C0205146,18
C1314939,26
C0007226,68
C3887460,68
C0037369,48
C4086728,8
C0453996,47
C1881674,53
C1553480,3
C1719844,14
C0015684,14
C0360714,151
C0009458,8
C0439536,8
C1705217,8
C3244283,8
C4085196,8
C4522282,8
C4522283,8
C0596836,2
C1697238,10
C3484372,3
C0589507,7
C1158830,7
C1704686,8
C1328319,11
C3888326,11
C0071097,10
C0677453,9
C1706077,32
C1704760,8
C3890423,8
C0017654,58
C1424601,52
C0449381,20
C3888198,75
C0005845,2
C0600137,4
C0429271,3
C0022718,153
C0439209,164
C4054209,153
C2598165,3
C3173209,51
C3241966,51
C0205447,21
C0205437,15
C0034627,2
C1306504,2
C0033963,1
C0035647,74
C4552904,74
C0542298,1
C0035648,78
C1553898,63
C1458132,1
C0006444,1
C4019422,12
C1313937,8
C0009080,1
C0149651,1
C0027051,52
C0428953,48
C2926063,48
C4552959,48
C1137094,13
C0451306,13
C0042815,36
C0337671,27
C4555205,14
C0456603,70
C1547037,70
C0054841,20
C1861828,20
C1872109,23
C0443258,19
C0015392,5
C0700042,5
C0449279,5
C4553144,5
C0008107,237
C1705241,337
C1705242,136
C3259781,237
C0428210,21
C1550543,23
C4317104,21
C0439609,21
C3272275,20
C0443225,8
C0036849,5
C1442518,5
C1705195,5
C0205404,12
C3887670,23
C1519384,14
C3887636,2
C0030123,22
C3203102,22
C4284467,22
C1442989,29
C2828392,29
C0016522,1
C0344724,1
C0022877,23
C3244292,23
C4283904,23
C0065879,4
C0031831,18
C0022423,3
C0804815,14
C3536851,9
C4521885,9
C0149721,25
C3484363,7
